Name,Country,lat,lng,Average_Score,Num_of_Reviews,total_stay_duration,business_trips,couples_stay,pet_stay,family_with_older_stays,family_with_younger_stays,solo_stays,group_stays,resident_stays,positive_minus_negative_word_count,Complains_Breakfast,Complains_Price,Positives_Clean,Positives_Location,Avg_Stay_Duration,Businesses_100m,Businesses_1km,Businesses_5km
Apollo Hotel Amsterdam, Netherland ,52.3486098,4.8844292,8.2,803,2241,0.191780821917808,0.535491905354919,0,0.0336239103362391,0.0709838107098381,0.216687422166874,0.13947696139477,0,-406,0.11332503113325,0.0859277708592777,0.141967621419676,0.231631382316314,2.79078455790785,3,1200,9400
Apollofirst Boutique Hotel, Netherland ,52.350396,4.8756404,8.5,372,1087,0.14247311827957,0.53494623655914,0,0.0268817204301075,0.0967741935483871,0.231182795698925,0.10752688172043,0,2557,0.0806451612903226,0.0349462365591398,0.150537634408602,0.263440860215054,2.92204301075269,1,956,9100
Appartement Hotel an der Riemergasse, Austria ,48.2071576,16.3765913,9.2,225,644,0.128888888888889,0.382222222222222,0,0.115555555555556,0.275555555555556,0.111111111111111,0.111111111111111,0.0133333333333333,2211,0.04,0.0177777777777778,0.213333333333333,0.56,2.86222222222222,37,2400,10100
Arbor City, United Kingdom ,51.5166755,-0.0697897,8.9,781,1545,0.338028169014085,0.376440460947503,0,0.0742637644046095,0.0627400768245839,0.366197183098592,0.11651728553137,0.58258642765685,2814,0.089628681177977,0.0371318822023047,0.277848911651729,0.295774647887324,1.97823303457106,44,1600,11800
Arbor Hyde Park, United Kingdom ,51.5126488,-0.1803795,8.4,826,1796,0.225181598062954,0.491525423728814,0,0.0653753026634383,0.110169491525424,0.25181598062954,0.0774818401937046,0.468523002421308,1361,0.112590799031477,0.0108958837772397,0.185230024213075,0.387409200968523,2.17433414043584,16,870,14300
ARCOTEL Kaiserwasser Superior, Austria ,48.231915,16.417026,8.6,143,390,0.461538461538462,0.272727272727273,0.00699300699300699,0.027972027972028,0.153846153846154,0.384615384615385,0.153846153846154,0.048951048951049,-335,0.146853146853147,0.048951048951049,0.174825174825175,0.356643356643357,2.72727272727273,3,186,4300
ARCOTEL Wimberger, Austria ,48.2006001,16.3386333,8.2,149,395,0.214765100671141,0.436241610738255,0.00671140939597315,0.0671140939597315,0.140939597315436,0.228187919463087,0.114093959731544,0.0402684563758389,-22,0.0738255033557047,0.00671140939597315,0.201342281879195,0.355704697986577,2.6510067114094,13,1100,9600
Arenas Atiram Hotels, Spain ,41.3904305,2.1262314,7.5,75,234,0.24,0.333333333333333,0,0.0666666666666667,0.16,0.293333333333333,0.146666666666667,0.12,-117,0.0666666666666667,0,0.106666666666667,0.226666666666667,3.12,5,462,9100
Arion Cityhotel Vienna und Appartements, Austria ,48.1585332,16.3451115,8.1,464,821,0.114224137931034,0.275862068965517,0.0021551724137931,0.0883620689655172,0.344827586206897,0.107758620689655,0.170258620689655,0.0581896551724138,-1914,0.0581896551724138,0.0172413793103448,0.269396551724138,0.112068965517241,1.76939655172414,2,49,9200
Arioso, France ,48.8746066,2.3167195,8.4,38,82,0.342105263157895,0.394736842105263,0,0,0.0789473684210526,0.447368421052632,0.0789473684210526,0,47,0.289473684210526,0.0526315789473684,0.184210526315789,0.394736842105263,2.15789473684211,53,2200,27500
Armani Hotel Milano, Italy ,45.470532,9.19302,9.2,156,358,0.153846153846154,0.564102564102564,0.00641025641025641,0.0833333333333333,0.134615384615385,0.166666666666667,0.0512820512820513,0.00641025641025641,427,0.0384615384615385,0.032051282051282,0.0576923076923077,0.294871794871795,2.29487179487179,30,1900,10900
Art Hotel Navigli, Italy ,45.4501306,9.1696481,8.6,366,820,0.185792349726776,0.456284153005464,0.00819672131147541,0.0983606557377049,0.101092896174863,0.199453551912568,0.139344262295082,0.0683060109289618,2605,0.0327868852459016,0.0163934426229508,0.155737704918033,0.475409836065574,2.24043715846995,22,1100,9900
art otel Amsterdam, Netherland ,52.377743,4.897057,9,790,2096,0.134177215189873,0.611392405063291,0,0.0392405063291139,0.0468354430379747,0.149367088607595,0.145569620253165,0,-309,0.120253164556962,0.0189873417721519,0.0721518987341772,0.363291139240506,2.65316455696203,68,2600,9500
Arthotel ANA Boutique Six, Austria ,48.1941905,16.3462578,8.2,390,922,0.2,0.546153846153846,0.00256410256410256,0.0128205128205128,0.0717948717948718,0.266666666666667,0.1,0.0564102564102564,-452,0.107692307692308,0.0102564102564103,0.161538461538462,0.458974358974359,2.36410256410256,6,1500,10000
Arthotel ANA Prime, Austria ,48.1925582,16.3576071,8.4,307,792,0.175895765472313,0.439739413680782,0.00651465798045603,0.0456026058631922,0.110749185667752,0.270358306188925,0.127035830618893,0.0195439739413681,446,0.208469055374593,0.0130293159609121,0.267100977198697,0.299674267100977,2.57980456026059,17,1900,10300
Arthotel ANA Westbahn, Austria ,48.1979514,16.336318,8.3,67,152,0.119402985074627,0.313432835820896,0.0149253731343284,0,0.208955223880597,0.298507462686567,0.164179104477612,0.0298507462686567,418,0.0298507462686567,0,0.17910447761194,0.17910447761194,2.26865671641791,9,866,9400
Artus Hotel by MH, France ,48.8535639,2.3360169,9,58,188,0.120689655172414,0.620689655172414,0,0.0344827586206897,0.120689655172414,0.155172413793103,0.0689655172413793,0.0344827586206897,612,0.0689655172413793,0.0172413793103448,0.0517241379310345,0.53448275862069,3.24137931034483,103,3600,30200
Ashburn Hotel, United Kingdom ,51.4945522,-0.1861213,8.6,239,549,0.117154811715481,0.640167364016736,0.00418410041841004,0.0418410041841004,0.0711297071129707,0.171548117154812,0.0711297071129707,0.569037656903766,951,0.196652719665272,0.00836820083682008,0.167364016736402,0.456066945606695,2.29707112970711,16,867,12500
Atahotel Contessa Jolanda, Italy ,45.4984161,9.1904375,7.5,119,324,0.302521008403361,0.453781512605042,0,0.0252100840336134,0.0672268907563025,0.294117647058824,0.151260504201681,0.0420168067226891,-678,0.168067226890756,0.0168067226890756,0.184873949579832,0.151260504201681,2.72268907563025,5,484,11000
Atahotel Linea Uno, Italy ,45.50054,9.2208089,8,119,366,0.294117647058824,0.252100840336134,0,0.0672268907563025,0.19327731092437,0.285714285714286,0.201680672268908,0.0588235294117647,17,0.210084033613445,0.0168067226890756,0.159663865546218,0.285714285714286,3.07563025210084,14,241,8400
Atala Champs Elys es, France ,48.8735418,2.302442,8.2,29,92,0.344827586206897,0.413793103448276,0,0.0689655172413793,0.0689655172413793,0.241379310344828,0.206896551724138,0.0689655172413793,-107,0.0344827586206897,0,0.137931034482759,0.620689655172414,3.17241379310345,43,2100,22100
Atlantis Hotel Vienna, Austria ,48.2037451,16.3356767,8.1,325,827,0.0923076923076923,0.350769230769231,0.0184615384615385,0.0584615384615385,0.261538461538462,0.116923076923077,0.206153846153846,0.0184615384615385,-1720,0.0984615384615385,0.0461538461538462,0.224615384615385,0.233846153846154,2.54461538461538,35,917,9300
Attica 21 Barcelona Mar, Spain ,41.4052324,2.2117289,8.1,168,625,0.142857142857143,0.482142857142857,0,0.0476190476190476,0.136904761904762,0.172619047619048,0.160714285714286,0.0178571428571429,221,0.0892857142857143,0.0297619047619048,0.285714285714286,0.31547619047619,3.7202380952381,2,311,7100
Au Manoir Saint Germain, France ,48.853688,2.3322667,8.6,166,491,0.102409638554217,0.590361445783133,0.0180722891566265,0.0602409638554217,0.132530120481928,0.162650602409639,0.0542168674698795,0.0240963855421687,921,0.108433734939759,0.0180722891566265,0.102409638554217,0.704819277108434,2.9578313253012,69,3300,30100
Austria Trend Hotel Ananas Wien, Austria ,48.1915401,16.3546263,8.2,546,1514,0.173992673992674,0.518315018315018,0.0146520146520147,0.043956043956044,0.0934065934065934,0.195970695970696,0.139194139194139,0.0274725274725275,-1964,0.144688644688645,0.010989010989011,0.221611721611722,0.467032967032967,2.77289377289377,21,1700,10200
Austria Trend Hotel Anatol Wien, Austria ,48.1945774,16.346356,8.8,150,444,0.106666666666667,0.453333333333333,0.00666666666666667,0.0666666666666667,0.226666666666667,0.16,0.0933333333333333,0.0466666666666667,1393,0.0933333333333333,0.02,0.326666666666667,0.4,2.96,5,1500,10000
Austria Trend Hotel Astoria Wien, Austria ,48.2044655,16.3702399,8.5,423,1131,0.174940898345154,0.465721040189125,0.00472813238770686,0.0543735224586288,0.156028368794326,0.212765957446809,0.104018912529551,0.016548463356974,-360,0.0567375886524823,0.0141843971631206,0.099290780141844,0.607565011820331,2.67375886524823,47,2800,10300
Austria Trend Hotel Bosei Wien, Austria ,48.1629737,16.3404024,8.3,391,693,0.179028132992327,0.452685421994885,0.020460358056266,0.0383631713554987,0.263427109974425,0.127877237851662,0.107416879795396,0.051150895140665,479,0.10997442455243,0.040920716112532,0.253196930946292,0.140664961636829,1.77237851662404,1,69,9300
Austria Trend Hotel Doppio Wien, Austria ,48.1854312,16.404884,8.7,339,575,0.188790560471976,0.501474926253687,0.0206489675516224,0.0294985250737463,0.135693215339233,0.185840707964602,0.135693215339233,0.0353982300884956,390,0.176991150442478,0.0206489675516224,0.368731563421829,0.144542772861357,1.69616519174041,2,191,6200
Austria Trend Hotel Europa Wien, Austria ,48.2062103,16.3710387,8.6,529,1432,0.145557655954631,0.4234404536862,0.0056710775047259,0.0472589792060491,0.234404536862004,0.179584120982987,0.107750472589792,0.0113421550094518,881,0.0926275992438563,0.0321361058601134,0.130434782608696,0.691871455576559,2.7069943289225,117,2800,10300
Austria Trend Hotel Lassalle Wien, Austria ,48.2273013,16.4001791,8.1,148,378,0.317567567567568,0.324324324324324,0.027027027027027,0.0337837837837838,0.168918918918919,0.297297297297297,0.175675675675676,0.0472972972972973,77,0.101351351351351,0.00675675675675676,0.209459459459459,0.256756756756757,2.55405405405405,5,245,7400
